Year,Cumulative discovered species names,
(Biota),Discovered species names,
1758,1340,1340
1759,1361,21
1760,1365,4
1761,1390,25
1762,1449,59
1763,1466,17
1764,1483,17
1765,1511,28
1766,1770,259
1767,2005,235
1768,2111,106
1769,2129,18
1770,2157,28
1771,2220,63
1772,2274,54
1773,2305,31
1774,2365,60
1775,2646,281
1776,2858,212
1777,2972,114
1778,3250,278
1779,3290,40
1780,3421,131
1781,3452,31
1782,3547,95
1783,3590,43
1784,3647,57
1785,3684,37
1786,3973,289
1787,4044,71
1788,4213,169
1789,4492,279
1790,4567,75
1791,5615,1048
1792,5991,376
1793,6111,120
1794,6218,107
1795,6327,109
1796,6350,23
1797,6490,140
1798,7262,772
1799,7339,77
1800,7463,124
1801,8010,547
1802,8330,320
1803,8669,339
1804,8911,242
1805,8982,71
1806,9081,99
1807,9369,288
1808,9518,149
1809,9697,179
1810,10120,423
1811,10508,388
1812,10557,49
1813,10657,100
1814,11087,430
1815,11325,238
1816,12098,773
1817,12611,513
1818,13259,648
1819,13957,698
1820,14089,132
1821,14284,195
1822,15116,832
1823,15307,191
1824,15775,468
1825,16286,511
1826,17352,1066
1827,17841,489
1828,18678,837
1829,19418,740
1830,20299,881
1831,20751,452
1832,21476,725
1833,22384,908
1834,23199,815
1835,24020,821
1836,24607,587
1837,25224,617
1838,25832,608
1839,26744,912
1840,27879,1135
1841,28705,826
1842,29827,1122
1843,31344,1517
1844,33157,1813
1845,34481,1324
1846,36565,2084
1847,37660,1095
1848,38749,1089
1849,40251,1502
1850,41634,1383
1851,42646,1012
1852,44193,1547
1853,45870,1677
1854,47126,1256
1855,48649,1523
1856,49665,1016
1857,50896,1231
1858,51931,1035
1859,53097,1166
1860,54662,1565
1861,56147,1485
1862,57345,1198
1863,58824,1479
1864,60294,1470
1865,61624,1330
1866,63208,1584
1867,64475,1267
1868,65777,1302
1869,66984,1207
1870,68215,1231
1871,69235,1020
1872,70362,1127
1873,71371,1009
1874,72356,985
1875,73473,1117
1876,74612,1139
1877,76113,1501
1878,77698,1585
1879,79486,1788
1880,81416,1930
1881,83088,1672
1882,84564,1476
1883,86153,1589
1884,88061,1908
1885,89868,1807
1886,91917,2049
1887,93369,1452
1888,95224,1855
1889,97238,2014
1890,98726,1488
1891,99733,1007
1892,100987,1254
1893,102301,1314
1894,103613,1312
1895,104678,1065
1896,106128,1450
1897,107671,1543
1898,109238,1567
1899,110794,1556
1900,112362,1568
1901,113861,1499
1902,115407,1546
1903,117058,1651
1904,119048,1990
1905,121543,2495
1906,123751,2208
1907,126006,2255
1908,128215,2209
1909,130349,2134
1910,132043,1694
1911,133867,1824
1912,135843,1976
1913,137577,1734
1914,138935,1358
1915,140539,1604
1916,141814,1275
1917,142746,932
1918,143826,1080
1919,144899,1073
1920,146014,1115
1921,147000,986
1922,148386,1386
1923,149459,1073
1924,150742,1283
1925,152630,1888
1926,153828,1198
1927,155656,1828
1928,157401,1745
1929,158994,1593
1930,160537,1543
1931,162204,1667
1932,164545,2341
1933,166043,1498
1934,167333,1290
1935,168614,1281
1936,170130,1516
1937,171509,1379
1938,173428,1919
1939,174812,1384
1940,176163,1351
1941,177073,910
1942,177900,827
1943,178579,679
1944,179478,899
1945,180144,666
1946,180880,736
1947,181632,752
1948,182346,714
1949,183270,924
1950,184505,1235
1951,186014,1509
1952,187492,1478
1953,188922,1430
1954,190519,1597
1955,191925,1406
1956,193466,1541
1957,194859,1393
1958,196409,1550
1959,198374,1965
1960,199908,1534
1961,201482,1574
1962,203227,1745
1963,204693,1466
1964,206334,1641
1965,207940,1606
1966,209209,1269
1967,211009,1800
1968,212930,1921
1969,214508,1578
1970,216823,2315
1971,218783,1960
1972,220669,1886
1973,222432,1763
1974,224368,1936
1975,226370,2002
1976,228009,1639
1977,231690,3681
1978,233736,2046
1979,235713,1977
1980,237455,1742
1981,240035,2580
1982,241911,1876
1983,243806,1895
1984,245846,2040
1985,247709,1863
1986,249808,2099
1987,251793,1985
1988,254003,2210
1989,255889,1886
1990,258126,2237
1991,260226,2100
1992,262020,1794
1993,264206,2186
1994,266138,1932
1995,268059,1921
1996,269822,1763
1997,271561,1739
1998,273221,1660
1999,274813,1592
2000,276626,1813
2001,278826,2200
2002,280589,1763
2003,282365,1776
2004,284496,2131
2005,286473,1977
2006,288780,2307
2007,290957,2177
2008,293601,2644
2009,295792,2191
2010,297771,1979
2011,299628,1857
2012,301896,2268
2013,303921,2025
2014,306142,2221
2015,308338,2196
2016,310410,2072
2017,312652,2242
2018,314886,2234
2019,316681,1795
2020,318793,2112
2021,319021,228
